,,ohlc,ohlc,ohlc,ohlc
,,open,high,low,close
,timestamp,,,,
bfnx,2021-02-24 22:00:00,48749.119626,48749.119626,48050.0,48326.8707948
bfnx,2021-02-24 22:20:00,48303.0,48964.0,48269.0,48703.0
bfnx,2021-02-24 22:40:00,48695.0,48954.0,48504.7719099,48880.0
bfnx,2021-02-24 23:00:00,48840.0,49530.0,48778.0,49185.0
bfnx,2021-02-24 23:20:00,49190.0,49745.0,49190.0,49606.0
bfnx,2021-02-24 23:40:00,49580.0,49747.0,49480.0,49716.0
bnus,2021-02-24 00:00:00,48875.0,49096.01,47590.0,47781.78
bnus,2021-02-24 00:20:00,47777.01,47817.15,47001.88,47700.0
bnus,2021-02-24 00:40:00,47695.07,48482.38,47584.5,48482.38
bnus,2021-02-24 01:00:00,48438.82,49068.99,48438.82,49009.36
bnus,2021-02-24 01:20:00,49033.03,49359.42,48775.58,49285.0
bnus,2021-02-24 01:40:00,49285.0,50214.5,49285.0,50214.49
bnus,2021-02-24 02:00:00,50171.91,50566.28,49844.07,50051.66
bnus,2021-02-24 02:20:00,50076.65,50489.83,49781.14,50338.19
bnus,2021-02-24 02:40:00,50318.77,50423.49,50050.02,50206.46
bnus,2021-02-24 03:00:00,50177.5,50534.89,50091.01,50431.35
bnus,2021-02-24 03:20:00,50466.36,50500.0,50200.0,50500.0
bnus,2021-02-24 03:40:00,50520.2,50995.25,50335.14,50898.28
bnus,2021-02-24 04:00:00,50900.61,51399.11,50900.61,51005.96
bnus,2021-02-24 04:20:00,51005.71,51179.46,50618.22,50618.22
bnus,2021-02-24 04:40:00,50645.5,50987.83,50342.02,50636.53
bnus,2021-02-24 05:00:00,50656.06,51030.13,50217.35,50243.87
bnus,2021-02-24 05:20:00,50248.08,50516.14,49983.24,50485.77
bnus,2021-02-24 05:40:00,50485.76,50543.0,50217.25,50217.25
bnus,2021-02-24 06:00:00,50211.36,50678.4,49400.0,49692.0
bnus,2021-02-24 06:20:00,49667.24,50091.0,49524.08,49856.69
bnus,2021-02-24 06:40:00,49852.34,50551.92,49706.01,50093.88
bnus,2021-02-24 07:00:00,50091.48,50140.69,49501.04,49695.97
bnus,2021-02-24 07:20:00,49746.21,50221.64,49586.44,50060.16
bnus,2021-02-24 07:40:00,50104.08,50362.13,49966.04,50042.91
bnus,2021-02-24 08:00:00,50089.2,50884.72,49818.38,50750.66
bnus,2021-02-24 08:20:00,50722.5,50876.97,50538.05,50728.3
