timestamp,bfly,bfnx,bnus,btrx,cbse,gmni,itbi,krkn,lmax,okcn,stmp,vwap global
2021-02-24 07:55:00,49866.98,50119.627872532175,50105.72503007446,50180.357642901894,50137.45902736133,50142.48340139592,50190.2653988207,50163.17686765433,50129.45792426368,50130.30077280142,50144.11171079587,50141.41532974051
2021-02-24 08:00:00,49890.340000000004,50086.01378494143,50071.07201182308,50005.181571072164,50047.69783435899,50027.42308806996,50108.95927514959,50045.98713786748,50040.459789644025,50035.19417965802,50061.866457741526,50057.77357360152
2021-02-24 08:05:00,50150.49500000001,50340.619984978504,50290.287738821775,50332.862673721735,50361.370817684,50311.24958814046,50301.63517865871,50279.024218549006,50318.09480772533,50324.12340441343,50299.92055501899,50320.73485952154
2021-02-24 08:10:00,50410.65000000001,50439.833373372414,50405.64362775663,50427.36357616071,50412.38462868596,50404.1246004774,50452.722535526416,50426.80557608741,50403.85034694502,50415.05825785877,50444.199277183034,50425.54592909557
2021-02-24 08:15:00,50473.810000000005,50825.93665197209,50737.990520836065,50787.7882071124,50696.07104098566,50768.417408062174,50792.48307944317,50692.209697396,50732.65028785241,50692.98900693329,50695.47760705749,50767.2737924907
2021-02-24 08:20:00,50536.97,50741.84019374087,50654.94582715251,50710.59962895439,50665.6756766271,50663.150689180955,50693.819442318345,50686.53301667301,50650.041937639195,50663.86736156351,50695.441561121384,50700.69695520992
2021-02-24 08:25:00,50600.130000000005,50683.31231157001,50611.47389305754,50652.268572051034,50622.26786000609,50610.16385946801,50622.5692424161,50651.85779500163,50654.79330572808,50641.48392919428,50647.90884419963,50656.54062136301
2021-02-24 08:30:00,50663.29,50771.93819818239,50768.68496011213,50803.783734530254,50772.489889393495,50739.47776476342,50784.29182729013,50800.01789582474,50795.44464365612,50825.305068172966,50850.17854975677,50814.81265049704
2021-02-24 08:35:00,50726.45,50712.565812224915,50741.938471189926,50750.93881224654,50732.364624357986,50765.88040702351,50754.47098182362,50764.99261061286,50731.1153694192,50774.557673073796,50744.34540161533,50737.71146009501
2021-02-24 08:40:00,50746.947499999995,50553.136102235825,50576.603529697786,50596.239699583064,50560.313393335164,50518.42592094186,50685.40871971385,50602.49376269299,50615.08159702347,50671.46079544198,50594.81685649168,50582.421001090486
